columns, rows, chunk_size, writing(μs), reading_all(μs), reading_100(μs)
100,5000,1000,67534,2158,2034
200,5000,1000,16447,4662,2438
300,5000,1000,30473,8254,3027
400,5000,1000,32971,11022,3458
500,5000,1000,44673,13281,3413
600,5000,1000,51560,16067,3684
700,5000,1000,57914,19977,3749
800,5000,1000,70992,28025,4497
900,5000,1000,131448,32471,5351
1000,5000,1000,374398,30167,4497
2000,5000,1000,448983,69189,7082
3000,5000,1000,235621,101111,9355
4000,5000,1000,664383,128935,11762
5000,5000,1000,529536,168735,13664
6000,5000,1000,2437275,207850,16843
7000,5000,1000,1710800,242815,19610
8000,5000,1000,626624,273233,21186
9000,5000,1000,714769,317447,23778
10000,5000,1000,782825,349452,27417
20000,5000,1000,1571088,759352,52909
30000,5000,1000,2335860,1200421,80900
40000,5000,1000,3299994,1616696,103371
50000,5000,1000,19913945,2071191,134777
100,5000,100000,186205,1053,1026
200,5000,100000,19421,2967,1361
300,5000,100000,41732,8510,2969
400,5000,100000,64518,7211,1955
500,5000,100000,80352,7956,1715
600,5000,100000,105998,10851,1866
700,5000,100000,274968,11882,1941
800,5000,100000,31507,12848,2040
900,5000,100000,386192,14893,2199
1000,5000,100000,39533,16399,2338
2000,5000,100000,117439,52177,3532
3000,5000,100000,118823,80857,4482
4000,5000,100000,159361,115480,5325
5000,5000,100000,1198248,142789,6269
6000,5000,100000,1512540,167299,7702
7000,5000,100000,2215540,195896,8554
8000,5000,100000,314157,233748,9943
9000,5000,100000,355731,258999,10568
10000,5000,100000,393434,283712,11539
20000,5000,100000,770395,543989,22888
30000,5000,100000,1174338,858581,35923
40000,5000,100000,1594320,1157519,45400
50000,5000,100000,2110922,1568456,57994
